,,,,Overall,Overall,SRS,SRS,SRS,Scoring,Scoring,Passing,Passing,Rushing,Rushing,Total,Total
28,Oregon State,Pac-10,,8,5,7.16,1.31,8.47,45.95,9.12,8.90,5.25,5.30,2.45,7.05,3.99
29,Wisconsin,Big Ten,16,10,3,5.11,3.08,8.19,45.50,8.64,9.71,5.70,5.59,1.98,7.09,3.85
30,North Carolina,ACC (Coastal),,8,5,-0.80,8.84,8.04,38.02,1.30,7.71,3.53,4.58,1.93,5.82,2.92
31,Connecticut,Big East,,8,5,8.16,-0.13,8.03,47.94,10.36,9.24,5.97,5.64,2.81,7.06,4.36
32,Oklahoma State,Big 12 (South),,9,4,2.24,5.76,8.01,42.69,4.60,8.59,4.65,5.64,2.00,6.77,3.33
33,West Virginia,Big East,25,9,4,2.71,4.76,7.48,40.67,6.87,8.47,4.80,6.02,2.58,6.92,3.78
34,Utah,MWC,18,10,3,3.34,3.94,7.28,42.21,7.96,8.72,4.28,5.19,2.95,6.80,3.61
35,South Carolina,SEC (East),,7,6,-0.52,7.62,7.10,37.97,2.12,8.59,4.15,5.00,2.16,6.71,3.07
36,Arizona,Pac-10,,8,5,5.35,1.64,6.98,44.42,9.21,7.86,4.70,6.21,2.68,6.94,3.80
37,Air Force,MWC,,8,5,-0.78,7.35,6.57,41.42,4.29,8.79,4.72,5.36,3.06,6.03,3.79
38,Notre Dame,Ind,,6,6,5.71,0.78,6.49,44.88,8.88,10.06,5.95,5.02,3.16,7.53,4.63
39,Rutgers,Big East,,9,4,0.71,5.63,6.34,41.28,6.93,8.60,5.72,4.85,2.18,6.27,3.94
40,Florida State,ACC (Atlantic),,7,6,9.19,-3.11,6.08,47.52,13.48,10.15,6.48,5.94,4.33,7.91,5.39
41,Kentucky,SEC (East),,7,6,3.14,2.89,6.03,43.58,7.97,7.64,5.20,6.09,3.27,6.65,4.12
42,Mississippi State,SEC (West),,5,7,3.33,2.42,5.76,43.79,7.74,8.51,5.88,6.30,2.22,7.03,3.96
43,Boston College,ACC (Atlantic),,8,5,-1.02,6.50,5.47,40.47,5.37,8.75,4.70,4.81,2.18,6.42,3.55
44,Navy,Ind,,10,4,1.34,3.53,4.87,39.76,8.28,10.87,5.93,5.77,3.13,6.36,4.58
45,Central Michigan,MAC (West),23,12,2,1.58,3.18,4.76,42.96,9.42,8.62,5.75,5.12,2.98,6.78,4.28
46,Missouri,Big 12 (North),,8,5,4.13,0.19,4.33,44.28,11.12,9.45,5.44,4.82,2.16,7.14,3.92
47,California,Pac-10,,8,5,1.78,2.50,4.28,44.04,11.22,9.02,6.23,5.91,2.20,7.23,4.33
48,Houston,CUSA (West),,10,4,10.70,-6.49,4.21,53.05,18.46,9.02,6.29,5.59,4.32,7.84,5.12
49,UCLA,Pac-10,,7,6,-2.20,5.99,3.80,37.08,5.05,8.29,5.19,4.92,2.61,6.49,3.80
50,South Florida,Big East,,8,5,-2.47,6.11,3.64,38.89,6.27,9.48,4.73,5.42,2.77,6.84,3.78
51,Washington,Pac-10,,5,7,2.34,1.27,3.61,42.22,9.89,8.85,6.09,5.68,3.16,7.12,4.63
52,East Carolina,CUSA (East),,9,5,0.57,3.00,3.58,38.68,8.73,7.74,5.31,5.13,2.72,6.24,4.21
53,Texas A&M,Big 12 (South),,6,7,5.96,-2.59,3.37,48.65,17.16,8.76,5.67,5.81,3.44,7.21,4.45
54,Troy,Sun Belt,,9,4,5.56,-2.84,2.73,43.30,17.39,9.03,6.08,5.14,2.97,7.25,4.65
55,Michigan State,Big Ten,,6,7,3.86,-1.33,2.52,44.58,12.22,9.83,5.67,5.46,2.51,7.58,4.16
56,Nevada,WAC,,8,5,4.38,-2.19,2.19,47.79,17.17,8.34,7.44,7.69,2.97,7.99,5.26
57,Wake Forest,ACC (Atlantic),,5,7,1.20,0.65,1.85,40.44,9.70,9.23,4.69,4.58,3.57,6.76,4.36
58,Fresno State,WAC,,8,5,5.11,-3.77,1.34,43.44,16.92,9.20,5.79,5.95,5.06,7.15,5.36
59,Middle Tennessee State,Sun Belt,,10,3,1.21,-0.11,1.10,40.15,12.61,7.63,5.51,5.49,2.41,6.44,3.88
60,Kansas,Big 12 (North),,5,7,3.89,-3.01,0.88,45.28,13.02,9.06,5.49,4.91,3.29,7.20,4.29
61,Purdue,Big Ten,,5,7,2.55,-1.77,0.79,41.73,13.26,8.26,4.71,5.54,3.18,6.91,3.92
62,Arizona State,Pac-10,,4,8,-3.52,4.23,0.71,36.70,5.72,7.65,4.58,5.09,1.95,6.29,3.34
63,Minnesota,Big Ten,,6,7,-0.81,0.70,-0.10,37.23,10.11,8.63,5.43,4.50,2.66,6.33,4.01
64,Northwestern,Big Ten,,8,5,0.73,-1.12,-0.39,38.25,12.56,8.39,5.72,4.15,2.86,6.28,4.26
65,Southern Mississippi,CUSA (East),,7,6,3.01,-3.68,-0.67,43.29,15.35,8.61,6.04,5.53,2.82,6.82,4.44
66,UCF,CUSA (East),,8,5,-2.97,2.22,-0.75,36.38,10.11,8.11,6.52,4.48,1.61,6.03,4.18
67,Iowa State,Big 12 (North),,7,6,-2.18,1.22,-0.96,35.84,10.20,8.09,6.32,5.80,3.68,6.76,4.90
68,North Carolina State,ACC (Atlantic),,5,7,4.61,-5.66,-1.06,46.06,17.59,9.62,6.18,4.59,3.18,6.96,4.57
69,Kansas State,Big 12 (North),,6,6,-3.67,2.59,-1.08,37.41,10.06,8.32,5.90,5.43,2.82,6.52,4.32
70,Michigan,Big Ten,,5,7,2.51,-4.02,-1.51,43.24,15.04,8.69,5.82,5.61,3.33,6.79,4.41
71,Ohio,MAC (East),,9,5,-2.06,0.17,-1.89,34.75,12.01,8.09,5.24,4.12,3.24,5.97,4.09
72,Baylor,Big 12 (South),,4,8,-3.42,1.12,-2.30,38.29,10.82,8.71,4.76,4.94,3.59,6.92,4.08
73,Bowling Green,MAC (East),,7,6,1.39,-3.72,-2.34,38.36,16.77,8.18,5.56,3.90,4.81,6.46,5.02
74,Temple,MAC (East),,9,4,1.07,-3.43,-2.36,39.53,16.14,7.93,6.23,5.03,2.68,6.11,4.52
75,Duke,ACC (Coastal),,5,7,-0.24,-2.21,-2.45,38.88,15.34,8.93,5.80,3.15,3.33,6.41,4.58
76,Louisiana Tech,WAC,,4,8,-0.47,-2.50,-2.97,39.33,13.69,8.20,5.10,4.84,3.17,6.17,4.16
77,Virginia,ACC (Coastal),,3,9,-4.67,1.67,-3.00,35.69,10.05,7.47,4.09,4.19,3.23,5.61,3.77
78,SMU,CUSA (West),,8,5,2.24,-5.33,-3.09,37.86,16.24,8.38,5.59,4.41,3.31,6.59,4.49
79,Marshall,CUSA (East),,7,6,-4.17,0.82,-3.35,32.47,13.35,7.64,5.63,4.79,3.44,6.05,4.66
80,Illinois,Big Ten,,3,9,-0.38,-3.30,-3.67,38.39,14.90,8.56,6.24,6.08,3.12,7.00,4.54
81,Colorado,Big 12 (North),,3,9,-0.66,-3.20,-3.86,37.81,13.68,7.53,5.71,4.07,2.96,5.89,4.11
82,Louisville,Big East,,4,8,-4.49,0.48,-4.01,33.32,11.24,8.36,6.62,4.97,3.00,6.43,4.54
83,Northern Illinois,MAC (West),,7,6,-3.32,-0.92,-4.24,36.67,12.64,8.14,6.13,5.31,3.30,6.37,4.60
84,Tulsa,CUSA (West),,5,7,-1.73,-2.52,-4.25,38.00,15.43,8.88,6.71,4.53,3.15,6.50,4.67
85,Syracuse,Big East,,4,8,-1.32,-3.09,-4.41,36.90,14.25,8.43,6.63,4.99,1.98,6.48,4.22
86,Wyoming,MWC,,7,6,-6.04,1.50,-4.53,30.33,13.51,6.93,5.65,4.35,3.61,5.54,4.51
87,Idaho,WAC,,8,5,6.95,-11.68,-4.73,42.62,25.14,10.54,6.98,5.02,3.92,7.59,5.42
88,Vanderbilt,SEC (East),,2,10,-7.14,2.03,-5.11,33.30,8.25,6.82,4.82,5.67,2.94,6.14,3.85
89,Nevada-Las Vegas,MWC,,5,7,-0.35,-5.27,-5.61,37.15,20.05,7.79,6.47,4.93,4.78,6.36,5.49
90,Indiana,Big Ten,,4,8,0.04,-5.80,-5.75,38.05,17.61,8.57,6.79,5.01,3.14,6.82,4.77
91,UAB,CUSA (East),,5,7,-0.24,-5.51,-5.75,37.24,19.60,8.99,7.25,6.86,3.22,7.59,5.28
92,Maryland,ACC (Atlantic),,2,10,-1.45,-5.15,-6.60,36.47,15.89,8.14,6.39,4.26,3.13,6.02,4.62
93,Buffalo,MAC (East),,5,7,-3.72,-3.03,-6.75,34.11,14.64,8.33,5.36,5.26,3.73,6.72,4.48
94,Utah State,WAC,,4,8,3.19,-10.04,-6.85,38.68,21.41,9.13,6.26,5.06,4.37,6.81,5.20
95,UTEP,CUSA (West),,4,8,1.03,-8.24,-7.21,38.65,22.55,8.74,6.44,5.19,4.20,7.03,5.11
96,San Diego State,MWC,,4,8,-1.55,-6.25,-7.79,35.20,20.11,8.48,6.22,3.60,3.26,6.33,4.52
97,Louisiana-Monroe,Sun Belt,,6,6,-5.20,-2.96,-8.15,34.46,16.10,8.48,6.04,5.33,2.35,6.59,4.22
98,Hawaii,WAC,,6,7,-4.69,-3.51,-8.20,31.50,18.40,8.64,6.50,4.72,4.01,7.15,5.11
99,Colorado State,MWC,,3,9,-3.81,-5.33,-9.14,32.76,16.87,8.86,6.00,5.03,3.41,6.70,4.63
100,Arkansas State,Sun Belt,,4,8,-7.78,-1.85,-9.63,32.00,13.82,7.96,6.32,4.57,2.63,6.03,4.36
101,Louisiana,Sun Belt,,6,6,-3.91,-5.77,-9.68,32.29,20.21,7.62,7.07,4.49,3.63,5.91,5.10
102,Florida Atlantic,Sun Belt,,5,7,0.40,-10.13,-9.74,37.90,24.16,8.56,7.30,5.24,5.11,6.89,6.12
103,Western Michigan,MAC (West),,5,7,-5.20,-5.33,-10.53,32.62,19.00,7.13,6.53,4.45,4.07,6.06,5.14
104,Kent State,MAC (East),,5,7,-8.52,-2.18,-10.69,28.75,14.85,7.70,5.68,3.86,3.26,5.79,4.31
105,Florida International,Sun Belt,,3,9,-3.87,-7.28,-11.15,33.72,22.31,7.11,6.93,4.02,4.05,5.53,5.31
106,Toledo,MAC (West),,5,7,2.40,-13.69,-11.29,40.00,28.15,8.64,6.20,5.30,4.26,7.04,5.15
107,Memphis,CUSA (East),,2,10,-4.53,-7.54,-12.06,33.61,21.23,7.53,7.56,5.42,3.27,6.34,5.19
108,Army,Ind,,5,7,-11.06,-1.53,-12.59,25.34,13.64,6.19,6.32,4.76,3.09,5.13,4.45
109,North Texas,Sun Belt,,2,10,-1.25,-13.13,-14.38,36.63,26.71,7.33,6.57,6.24,4.01,6.77,5.15
110,San Jose State,WAC,,2,10,-12.92,-1.71,-14.63,24.09,20.83,7.41,6.03,3.10,4.87,5.30,5.30
111,Akron,MAC (East),,3,9,-9.02,-5.63,-14.65,30.17,19.40,7.47,5.68,4.36,3.67,5.81,4.47
112,Washington State,Pac-10,,1,11,-11.12,-3.75,-14.87,28.31,21.89,7.42,6.73,3.78,4.52,5.48,5.48
113,Ball State,MAC (West),,2,10,-9.79,-5.59,-15.38,26.92,18.45,6.09,6.90,4.80,3.16,5.39,4.81
114,New Mexico,MWC,,1,11,-7.69,-8.11,-15.80,29.81,22.40,7.13,6.93,4.19,3.17,5.78,4.70
115,Tulane,CUSA (West),,3,9,-10.35,-5.88,-16.23,26.43,25.08,7.64,7.58,4.16,4.24,5.81,5.41
116,Rice,CUSA (West),,2,10,-7.47,-8.86,-16.33,30.70,29.81,6.26,7.59,4.27,3.72,5.27,5.39
117,Miami (OH),MAC (East),,1,11,-11.15,-5.82,-16.98,27.56,21.04,7.58,5.99,3.13,4.11,5.71,4.75
118,New Mexico State,WAC,,3,10,-15.89,-2.08,-17.97,19.93,19.94,5.25,5.79,4.14,4.80,4.57,5.11
119,Western Kentucky,Sun Belt,,0,12,-7.49,-13.39,-20.88,29.84,28.82,6.63,7.82,5.50,4.65,5.91,5.97
120,Eastern Michigan,MAC (West),,0,12,-11.74,-11.16,-22.89,26.90,27.94,6.55,7.13,4.50,5.62,5.41,6.03
